,REPORTNO,SHAPE,WEIGHT,CUT,POLISH,SYMN,COLOR,PURITY,FLUOR,MES1,MES2,MES3,TABLE,DEPTHPER,PER,PRICE/CTS,TOTAL,RAP TOTAL,VIDEOLINK,PDFLINK,CSTATUS,COMPANY ID,RATIO,CERT,RAP PRICE PER CARAT,CREATEDAT,LASTMODIFIEDAT,FRONTIMAGE,VIDEOLINK_LINK,FRONTIMAGE_LINK
0,3365984947.0,RD,0.58,X,X,X,D,IF,N,5.4,5.37,3.25,59.0,60.3,39.0,4392.0,2547.36,4176,VIDEO,PDF,FREE,TSHOC023,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
1,2386810043.0,RD,0.5,X,X,X,D,IF,N,5.07,5.04,3.11,62.0,61.6,39.25,4374.0,2187.0,3600,NAN,PDF,INSPECTION,USHKB034,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
2,1385365746.0,RD,0.5,X,X,X,D,IF,N,5.17,5.14,3.11,60.0,60.3,39.0,4392.0,2196.0,3600,NAN,PDF,INSPECTION,USHGT006,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
3,6382726553.0,RD,0.55,X,X,X,D,IF,N,5.28,5.25,3.24,59.0,61.5,39.0,4392.0,2415.6,3960,NAN,PDF,FREE,USHJT002,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
4,7383726530.0,RD,0.57,X,X,X,D,IF,N,5.3,5.26,3.32,58.0,62.8,39.0,4392.0,2503.44,4104,NAN,PDF,FREE,USHJT003,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
5,2386743806.0,RD,0.56,X,X,X,D,IF,N,5.38,5.35,3.25,55.0,60.5,39.0,4392.0,2459.52,4032,NAN,PDF,FREE,USHKO006,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
6,2387445879.0,RD,0.5,X,X,X,D,IF,N,5.08,5.05,3.15,60.0,62.1,39.0,4392.0,2196.0,3600,NAN,PDF,INSPECTION,USHID004,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
7,5386743925.0,RD,0.56,X,X,X,D,IF,N,5.26,5.23,3.3,57.0,63.0,39.25,4374.0,2449.44,4032,NAN,PDF,FREE,USHKO011,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
8,6385737307.0,RD,0.54,X,X,X,D,IF,N,5.23,5.21,3.23,59.0,61.9,39.25,4374.0,2361.96,3888,NAN,PDF,FREE,USLCQ010,1.0,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
9,2388743714.0,RD,0.52,X,X,X,D,IF,N,5.31,5.28,3.14,58.0,59.2,39.25,4374.0,2274.48,3744,NAN,PDF,FREE,USLCQ012,1.01,GIA,7200,26/04/2022,26/04/2022,NAN,0,0
